"year","doy","Cyanophyta_rel_biomass_conc_mgL"
"2009",105,0.0248650417143792
"2009",117,0.00489089541008277
"2009",131,0.0137261112870869
"2009",148,0.0846473029045643
"2009",160,0.0537190082644628
"2009",174,0.813975011568718
"2009",187,0.990293982269007
"2009",201,0.993062917722978
"2009",217,0.974207232449135
"2009",231,0.948840394617506
"2009",245,0.706839291739926
"2009",273,0.97594886136636
"2009",301,0.456366237482117
"2009",337,0.141867179980751
"2010",32,0.0323232323232323
"2010",88,0.00330845044969904
"2010",103,0.00801299022203396
"2010",116,0.240334436900286
"2010",130,0.326822664861729
"2010",144,0.774022920952101
"2010",158,0.652542597450778
"2010",172,0.939050497418461
"2010",186,0.857017213217741
"2010",200,0.436903774367482
"2010",215,0.378511632684505
"2010",228,0.920629401025819
"2010",242,0.833180568285976
"2010",278,0.715890069087257
"2010",313,0.232336889719259
"2011",19,0.575952515139169
"2011",108,0.0130559105079501
"2011",122,0.0112693631740339
"2011",137,0.0392234421418019
"2011",151,0.0426703282897117
"2011",164,0.970095204747626
"2011",178,0.959774023895488
"2011",192,0.991721157521483
"2011",206,0.190727211649369
"2011",216,0.95193292666911
"2011",234,0.939296508783813
"2011",255,0.838239891060232
"2011",276,0.738884937043179
"2011",304,0.0419676072235009
"2012",53,0.190055859028411
"2012",81,0.148691773703575
"2012",95,0.177949094993454
"2012",108,0.191580644128023
"2012",122,0.55005851454475
"2012",135,0.164325996492505
"2012",150,0.450606133544663
"2012",163,0.344090071996851
"2012",177,0.963188323679913
"2012",192,0.953523717422075
"2012",205,0.939658198392834
"2012",219,0.857395739982862
"2012",233,0.695252879455541
"2012",248,0.698171394083148
"2012",275,0.0441286351598033
"2012",303,0.0938147938632792
"2012",334,0.760157131772856
"2013",43,0.00723792181298924
"2013",119,0.0117755464016021
"2013",134,0.155258686346583
"2013",148,0.802409746844036
"2013",161,0.178851150448536
"2013",175,0.658125476735949
"2013",189,0.889539997984633
"2013",203,0.837061760727275
"2013",217,0.958157202651521
"2013",233,0.873238122166257
"2013",247,0.872710568714059
"2013",273,0.625627288064593
"2013",302,0.0109615952077907
"2013",336,0.0066241926421028
"2014",34,0.0565931048537194
"2014",119,0.0160364530494455
"2014",134,0.0140539334128827
"2014",148,0.0889351582223166
"2014",160,0.985816113733735
"2014",174,0.988879354356865
"2014",188,0.984656169151135
"2014",202,0.79741005942353
"2014",216,0.840883894701226
"2014",232,0.862090787359727
"2014",245,0.921721060354386
"2014",271,0.576421923907958
"2014",303,0.157192207951316
"2015",42,0.672005626808671
"2015",100,0.0291578970076207
"2015",114,0.0916379958203983
"2015",121,0.0778495540244749
"2015",133,0.101927554894404
"2015",147,0.708958423788049
"2015",159,0.998914384021169
"2015",174,0.98977382602428
"2015",189,0.979607725004478
"2015",201,0.947731420343612
"2015",215,0.807774966757693
"2015",230,0.914023826232813
"2015",243,0.729971138272104
"2015",280,0.928787927037368
"2015",306,0.247257377887274
"2016",27,0.783244416018678
"2016",88,0.322632354763886
"2016",103,0.430112000981124
"2016",116,0.426276530815965
"2016",132,0.0394592660719069
"2016",144,0.0308530812353107
"2016",159,0.380628299371199
"2016",172,0.934204734584468
"2016",187,0.652095757527692
"2016",200,0.721189571877688
"2016",214,0.484693034253086
"2016",228,0.898683498861877
"2016",243,0.844996868755019
"2016",278,0.528103914052703
"2016",314,0.782484736099789
"2017",37,0.329185371276058
"2017",107,0.348244930132142
"2017",123,0.144916409258507
"2017",135,0.124528606522384
"2017",150,0.90761892314073
"2017",163,0.993636526076833
"2017",177,0.959926916248375
"2017",191,0.372789979817718
"2017",205,0.493207966200656
"2017",219,0.69165228540388
"2017",235,0.787441176975972
"2017",249,0.656192947836474
"2017",268,0.902273360152174
"2017",277,0.754600908035913
"2017",306,0.835969174745803
"2017",353,0.323171647359433
"2018",23,0.12723019315167
"2018",110,0.0767003561124222
"2018",127,0.125695444441877
"2018",134,0.0382525693037424
"2018",149,0.986399512295376
"2018",162,0.382646078218519
"2018",176,0.917253626276891
"2018",190,0.540976700265578
"2018",204,0.881867968024916
"2018",218,0.990842830119149
"2018",234,0.883260871238595
"2018",247,0.927034570584537
"2018",262,0.942879247674065
"2018",275,0.969627889839106
"2018",291,0.934177330184654
"2018",302,0.895340979303883
"2018",318,0.820188811106147
"2018",334,0.661083690154003
"2019",52,0.0328767303260909
"2019",93,0.0149939430945817
"2019",105,0.00381463234754614
"2019",119,0.00307325905000338
"2019",133,0.0991998375703734
"2019",148,0.443545851469011
"2019",162,0.0155239088539251
"2019",175,0.982355734225264
"2019",189,0.992360481933025
"2019",203,0.996441528869418
"2019",217,0.960751218570999
"2019",233,0.97002585762213
"2019",247,0.988379814016256
"2019",277,0.997866046041274
"2019",301,0.953445347422428
"2019",324,0.56475735795678
"2020",43,0.00944945921111924
"2020",86,0.00273741492691747
"2020",128,0.00310969871452347
"2020",136,0.372763091327648
"2020",154,0.301902250371575
"2020",164,0.90036209725371
"2020",176,0.987456111906227
"2020",190,0.611476315983126
"2020",204,0.816722122512306
"2020",219,0.991707002962763
"2020",233,0.978250314456781
"2020",262,0.876612908750235
"2020",282,0.442334742831364
"2020",308,0.478138523344657
"2020",345,0.851877971025297
