"Cyanobacteria_rel_abund_16S","year","doy"
16.1494850010859,"2013",259
24.7687324942583,"2015",259
8.91645731697161,"2016",260
27.402549406719,"2010",229
6.73213915121509,"2012",230
27.9782967681057,"2002",198
11.9560042149943,"2014",198
13.3073054407747,"2018",198
5.49655568312285,"2002",168
15.9173808884884,"2014",168
13.506547840908,"2017",168
0.324983177426874,"2012",138
14.2574993967998,"2014",260
10.8190279136754,"2014",230
14.5329878319613,"2017",230
4.10327621239111,"2011",18
10.0357933334177,"2013",199
9.82989146966425,"2017",199
1.90617797229415,"2009",169
19.1013792318698,"2014",169
12.9627151941724,"2017",169
6.38173213878107,"2018",169
0.248446824591082,"2010",138
0.703472095081885,"2011",138
0.350537838905185,"2016",139
20.8786227398624,"2015",291
15.3996285353437,"2014",231
20.6144148142321,"2015",231
8.67808152892392,"2018",19
