dateTime,PRES,PRES.1,PRES.2,PRES.3,PRES.4,PRES.5
2019-09-25T13:00:00Z,97320.1171875,97320.1171875,97320.1171875,97320.1171875,97320.1171875,97320.1171875
2019-09-25T14:00:00Z,97389.1796875,97389.1796875,97389.1796875,97389.1796875,97389.1796875,97389.1796875
2019-09-25T15:00:00Z,97457.5,97457.5,97457.5,97457.5,97457.5,97457.5
2019-09-25T16:00:00Z,97368.421875,97368.421875,97368.421875,97368.421875,97368.421875,97368.421875
2019-09-25T17:00:00Z,97279.34375,97279.34375,97279.34375,97279.34375,97279.34375,97279.34375
2019-09-25T18:00:00Z,97190.796875,97190.796875,97190.796875,97190.796875,97190.796875,97190.796875
2019-09-25T19:00:00Z,97250.34375,97250.34375,97250.34375,97250.34375,97250.34375,97250.34375
2019-09-25T20:00:00Z,97310.53125,97310.53125,97310.53125,97310.53125,97310.53125,97310.53125
2019-09-25T21:00:00Z,97369.9609375,97369.9609375,97369.9609375,97369.9609375,97369.9609375,97369.9609375
2019-09-25T22:00:00Z,97457.359375,97457.359375,97457.359375,97457.359375,97457.359375,97457.359375
2019-09-25T23:00:00Z,97544.7578125,97544.7578125,97544.7578125,97544.7578125,97544.7578125,97544.7578125
2019-09-26T00:00:00Z,97632.703125,97632.703125,97632.703125,97632.703125,97632.703125,97632.703125
2019-09-26T01:00:00Z,97697.0625,97697.0625,97697.0625,97697.0625,97697.0625,97697.0625
2019-09-26T02:00:00Z,97761.2265625,97761.2265625,97761.2265625,97761.2265625,97761.2265625,97761.2265625
2019-09-26T03:00:00Z,97825.828125,97825.828125,97825.828125,97825.828125,97825.828125,97825.828125
2019-09-26T04:00:00Z,97787.0078125,97787.0078125,97787.0078125,97787.0078125,97787.0078125,97787.0078125
2019-09-26T05:00:00Z,97748.078125,97748.078125,97748.078125,97748.078125,97748.078125,97748.078125
2019-09-26T06:00:00Z,97708.5234375,97708.5234375,97708.5234375,97708.5234375,97708.5234375,97708.5234375
2019-09-26T07:00:00Z,97742.8671875,97742.8671875,97742.8671875,97742.8671875,97742.8671875,97742.8671875
2019-09-26T08:00:00Z,97777.203125,97777.203125,97777.203125,97777.203125,97777.203125,97777.203125
2019-09-26T09:00:00Z,97810.8984375,97810.8984375,97810.8984375,97810.8984375,97810.8984375,97810.8984375
2019-09-26T10:00:00Z,97927.1171875,97927.1171875,97927.1171875,97927.1171875,97927.1171875,97927.1171875
2019-09-26T11:00:00Z,98042.796875,98042.796875,98042.796875,98042.796875,98042.796875,98042.796875
2019-09-26T12:00:00Z,98158.3828125,98158.3828125,98158.3828125,98158.3828125,98158.3828125,98158.3828125
2019-09-26T13:00:00Z,98135.828125,98135.828125,98135.828125,98135.828125,98135.828125,98135.828125
2019-09-26T14:00:00Z,98113.171875,98113.171875,98113.171875,98113.171875,98113.171875,98113.171875
2019-09-26T15:00:00Z,98090.3984375,98090.3984375,98090.3984375,98090.3984375,98090.3984375,98090.3984375
2019-09-26T16:00:00Z,98077.359375,98077.359375,98077.359375,98077.359375,98077.359375,98077.359375
2019-09-26T17:00:00Z,98064.859375,98064.859375,98064.859375,98064.859375,98064.859375,98064.859375
2019-09-26T18:00:00Z,98051.71875,98051.71875,98051.71875,98051.71875,98051.71875,98051.71875
2019-09-26T19:00:00Z,98022.8515625,98022.8515625,98022.8515625,98022.8515625,98022.8515625,98022.8515625
2019-09-26T20:00:00Z,97994.0703125,97994.0703125,97994.0703125,97994.0703125,97994.0703125,97994.0703125
2019-09-26T21:00:00Z,97965.8203125,97965.8203125,97965.8203125,97965.8203125,97965.8203125,97965.8203125
2019-09-26T22:00:00Z,97952.4375,97952.4375,97952.4375,97952.4375,97952.4375,97952.4375
2019-09-26T23:00:00Z,97939.703125,97939.703125,97939.703125,97939.703125,97939.703125,97939.703125
2019-09-27T00:00:00Z,97926.3203125,97926.3203125,97926.3203125,97926.3203125,97926.3203125,97926.3203125
2019-09-27T01:00:00Z,97912.5625,97912.5625,97912.5625,97912.5625,97912.5625,97912.5625
2019-09-27T02:00:00Z,97898.0625,97898.0625,97898.0625,97898.0625,97898.0625,97898.0625
2019-09-27T03:00:00Z,97884,97884,97884,97884,97884,97884
2019-09-27T04:00:00Z,97829,97829,97829,97829,97829,97829
2019-09-27T05:00:00Z,97773.8984375,97773.8984375,97773.8984375,97773.8984375,97773.8984375,97773.8984375
2019-09-27T06:00:00Z,97718.796875,97718.796875,97718.796875,97718.796875,97718.796875,97718.796875
2019-09-27T07:00:00Z,97627.4375,97627.4375,97627.4375,97627.4375,97627.4375,97627.4375
2019-09-27T08:00:00Z,97536.8203125,97536.8203125,97536.8203125,97536.8203125,97536.8203125,97536.8203125
2019-09-27T09:00:00Z,97445.4609375,97445.4609375,97445.4609375,97445.4609375,97445.4609375,97445.4609375
2019-09-27T10:00:00Z,97436.4765625,97436.4765625,97436.4765625,97436.4765625,97436.4765625,97436.4765625
2019-09-27T11:00:00Z,97427.5,97427.5,97427.5,97427.5,97427.5,97427.5
2019-09-27T12:00:00Z,97418.5234375,97418.5234375,97418.5234375,97418.5234375,97418.5234375,97418.5234375
2019-09-27T13:00:00Z,97348.8203125,97348.8203125,97348.8203125,97348.8203125,97348.8203125,97348.8203125
2019-09-27T14:00:00Z,97279.0234375,97279.0234375,97279.0234375,97279.0234375,97279.0234375,97279.0234375
2019-09-27T15:00:00Z,97209.7578125,97209.7578125,97209.7578125,97209.7578125,97209.7578125,97209.7578125
2019-09-27T16:00:00Z,97156,97156,97156,97156,97156,97156
2019-09-27T17:00:00Z,97101.5,97101.5,97101.5,97101.5,97101.5,97101.5
2019-09-27T18:00:00Z,97047.640625,97047.640625,97047.640625,97047.640625,97047.640625,97047.640625
2019-09-27T19:00:00Z,97044.140625,97044.140625,97044.140625,97044.140625,97044.140625,97044.140625
2019-09-27T20:00:00Z,97040.7421875,97040.7421875,97040.7421875,97040.7421875,97040.7421875,97040.7421875
2019-09-27T21:00:00Z,97037.2421875,97037.2421875,97037.2421875,97037.2421875,97037.2421875,97037.2421875
2019-09-27T22:00:00Z,97189.2578125,97189.2578125,97189.2578125,97189.2578125,97189.2578125,97189.2578125
2019-09-27T23:00:00Z,97341.1796875,97341.1796875,97341.1796875,97341.1796875,97341.1796875,97341.1796875
2019-09-28T00:00:00Z,97493.1015625,97493.1015625,97493.1015625,97493.1015625,97493.1015625,97493.1015625
2019-09-28T01:00:00Z,97557.859375,97557.859375,97557.859375,97557.859375,97557.859375,97557.859375
2019-09-28T02:00:00Z,97623.6015625,97623.6015625,97623.6015625,97623.6015625,97623.6015625,97623.6015625
2019-09-28T03:00:00Z,97688.6015625,97688.6015625,97688.6015625,97688.6015625,97688.6015625,97688.6015625
2019-09-28T04:00:00Z,97773.0234375,97773.0234375,97773.0234375,97773.0234375,97773.0234375,97773.0234375
2019-09-28T05:00:00Z,97857.4375,97857.4375,97857.4375,97857.4375,97857.4375,97857.4375
2019-09-28T06:00:00Z,97942.5,97942.5,97942.5,97942.5,97942.5,97942.5
2019-09-28T07:00:00Z,97996.296875,97996.296875,97996.296875,97996.296875,97996.296875,97996.296875
2019-09-28T08:00:00Z,98050.1015625,98050.1015625,98050.1015625,98050.1015625,98050.1015625,98050.1015625
2019-09-28T09:00:00Z,98104,98104,98104,98104,98104,98104
2019-09-28T10:00:00Z,98207.5625,98207.5625,98207.5625,98207.5625,98207.5625,98207.5625
2019-09-28T11:00:00Z,98310.4765625,98310.4765625,98310.4765625,98310.4765625,98310.4765625,98310.4765625
2019-09-28T12:00:00Z,98414.140625,98414.140625,98414.140625,98414.140625,98414.140625,98414.140625
2019-09-28T13:00:00Z,98483.421875,98483.421875,98483.421875,98483.421875,98483.421875,98483.421875
2019-09-28T14:00:00Z,98552.6015625,98552.6015625,98552.6015625,98552.6015625,98552.6015625,98552.6015625
2019-09-28T15:00:00Z,98622.3203125,98622.3203125,98622.3203125,98622.3203125,98622.3203125,98622.3203125
2019-09-28T16:00:00Z,98645.6796875,98645.6796875,98645.6796875,98645.6796875,98645.6796875,98645.6796875
2019-09-28T17:00:00Z,98668.3984375,98668.3984375,98668.3984375,98668.3984375,98668.3984375,98668.3984375
2019-09-28T18:00:00Z,98691.65625,98691.65625,98691.65625,98691.65625,98691.65625,98691.65625
2019-09-28T19:00:00Z,98748.5234375,98748.5234375,98748.5234375,98748.5234375,98748.5234375,98748.5234375
2019-09-28T20:00:00Z,98805.28125,98805.28125,98805.28125,98805.28125,98805.28125,98805.28125
2019-09-28T21:00:00Z,98862.140625,98862.140625,98862.140625,98862.140625,98862.140625,98862.140625
2019-09-28T22:00:00Z,98837.640625,98837.640625,98837.640625,98837.640625,98837.640625,98837.640625
2019-09-28T23:00:00Z,98812.5,98812.5,98812.5,98812.5,98812.5,98812.5
2019-09-29T00:00:00Z,98788,98788,98788,98788,98788,98788
2019-09-29T01:00:00Z,98836.9375,98836.9375,98836.9375,98836.9375,98836.9375,98836.9375
2019-09-29T02:00:00Z,98885.78125,98885.78125,98885.78125,98885.78125,98885.78125,98885.78125
2019-09-29T03:00:00Z,98934.6171875,98934.6171875,98934.6171875,98934.6171875,98934.6171875,98934.6171875
2019-09-29T04:00:00Z,98918.34375,98918.34375,98918.34375,98918.34375,98918.34375,98918.34375
2019-09-29T05:00:00Z,98902.703125,98902.703125,98902.703125,98902.703125,98902.703125,98902.703125
2019-09-29T06:00:00Z,98886.421875,98886.421875,98886.421875,98886.421875,98886.421875,98886.421875
2019-09-29T07:00:00Z,98850,98850,98850,98850,98850,98850
2019-09-29T08:00:00Z,98813.578125,98813.578125,98813.578125,98813.578125,98813.578125,98813.578125
2019-09-29T09:00:00Z,98777.15625,98777.15625,98777.15625,98777.15625,98777.15625,98777.15625
2019-09-29T10:00:00Z,98843.28125,98843.28125,98843.28125,98843.28125,98843.28125,98843.28125
2019-09-29T11:00:00Z,98909.3984375,98909.3984375,98909.3984375,98909.3984375,98909.3984375,98909.3984375
2019-09-29T12:00:00Z,98974.8828125,98974.8828125,98974.8828125,98974.8828125,98974.8828125,98974.8828125
2019-09-29T13:00:00Z,98912.578125,98912.578125,98912.578125,98912.578125,98912.578125,98912.578125
2019-09-29T14:00:00Z,98850.1796875,98850.1796875,98850.1796875,98850.1796875,98850.1796875,98850.1796875
2019-09-29T15:00:00Z,98787.2421875,98787.2421875,98787.2421875,98787.2421875,98787.2421875,98787.2421875
2019-09-29T16:00:00Z,98812.859375,98812.859375,98812.859375,98812.859375,98812.859375,98812.859375
2019-09-29T17:00:00Z,98839.1171875,98839.1171875,98839.1171875,98839.1171875,98839.1171875,98839.1171875
2019-09-29T18:00:00Z,98864.640625,98864.640625,98864.640625,98864.640625,98864.640625,98864.640625
2019-09-29T19:00:00Z,98759.4375,98759.4375,98759.4375,98759.4375,98759.4375,98759.4375
2019-09-29T20:00:00Z,98654.34375,98654.34375,98654.34375,98654.34375,98654.34375,98654.34375
2019-09-29T21:00:00Z,98549.140625,98549.140625,98549.140625,98549.140625,98549.140625,98549.140625
2019-09-29T22:00:00Z,98548.7421875,98548.7421875,98548.7421875,98548.7421875,98548.7421875,98548.7421875
2019-09-29T23:00:00Z,98548.9765625,98548.9765625,98548.9765625,98548.9765625,98548.9765625,98548.9765625
2019-09-30T00:00:00Z,98549.21875,98549.21875,98549.21875,98549.21875,98549.21875,98549.21875
2019-09-30T01:00:00Z,98582.421875,98582.421875,98582.421875,98582.421875,98582.421875,98582.421875
2019-09-30T02:00:00Z,98615.078125,98615.078125,98615.078125,98615.078125,98615.078125,98615.078125
2019-09-30T03:00:00Z,98647.640625,98647.640625,98647.640625,98647.640625,98647.640625,98647.640625
2019-09-30T04:00:00Z,98612.5234375,98612.5234375,98612.5234375,98612.5234375,98612.5234375,98612.5234375
2019-09-30T05:00:00Z,98576.7578125,98576.7578125,98576.7578125,98576.7578125,98576.7578125,98576.7578125
2019-09-30T06:00:00Z,98541,98541,98541,98541,98541,98541
2019-09-30T07:00:00Z,98503.9765625,98503.9765625,98503.9765625,98503.9765625,98503.9765625,98503.9765625
2019-09-30T08:00:00Z,98466.3203125,98466.3203125,98466.3203125,98466.3203125,98466.3203125,98466.3203125
2019-09-30T09:00:00Z,98429.296875,98429.296875,98429.296875,98429.296875,98429.296875,98429.296875
2019-09-30T10:00:00Z,98378,98378,98378,98378,98378,98378
2019-09-30T11:00:00Z,98326.703125,98326.703125,98326.703125,98326.703125,98326.703125,98326.703125
2019-09-30T12:00:00Z,98275.3984375,98275.3984375,98275.3984375,98275.3984375,98275.3984375,98275.3984375
2019-09-30T13:00:00Z,98247.84375,98247.84375,98247.84375,98247.84375,98247.84375,98247.84375
2019-09-30T14:00:00Z,98220.921875,98220.921875,98220.921875,98220.921875,98220.921875,98220.921875
2019-09-30T15:00:00Z,98193.2578125,98193.2578125,98193.2578125,98193.2578125,98193.2578125,98193.2578125
2019-09-30T16:00:00Z,98146.3984375,98146.3984375,98146.3984375,98146.3984375,98146.3984375,98146.3984375
2019-09-30T17:00:00Z,98100.1796875,98100.1796875,98100.1796875,98100.1796875,98100.1796875,98100.1796875
2019-09-30T18:00:00Z,98053.7578125,98053.7578125,98053.7578125,98053.7578125,98053.7578125,98053.7578125
2019-09-30T19:00:00Z,98059.34375,98059.34375,98059.34375,98059.34375,98059.34375,98059.34375
2019-09-30T20:00:00Z,98064.8203125,98064.8203125,98064.8203125,98064.8203125,98064.8203125,98064.8203125
2019-09-30T21:00:00Z,98070.296875,98070.296875,98070.296875,98070.296875,98070.296875,98070.296875
2019-09-30T22:00:00Z,98019.640625,98019.640625,98019.640625,98019.640625,98019.640625,98019.640625
2019-09-30T23:00:00Z,97968.34375,97968.34375,97968.34375,97968.34375,97968.34375,97968.34375
2019-10-01T00:00:00Z,97917.6796875,97917.6796875,97917.6796875,97917.6796875,97917.6796875,97917.6796875
2019-10-01T01:00:00Z,97910.8984375,97910.8984375,97910.8984375,97910.8984375,97910.8984375,97910.8984375
2019-10-01T02:00:00Z,97904.21875,97904.21875,97904.21875,97904.21875,97904.21875,97904.21875
2019-10-01T03:00:00Z,97897.4375,97897.4375,97897.4375,97897.4375,97897.4375,97897.4375
2019-10-01T04:00:00Z,97904.5625,97904.5625,97904.5625,97904.5625,97904.5625,97904.5625
2019-10-01T05:00:00Z,97911.578125,97911.578125,97911.578125,97911.578125,97911.578125,97911.578125
2019-10-01T06:00:00Z,97918.703125,97918.703125,97918.703125,97918.703125,97918.703125,97918.703125
