"","date","phylum","abund","sampledate","day","month","year","doy"
"101","01Aug2013","Fermentibacterota",0,2013-08-01,1,8,"2013",213
"102","01Aug2013","Fibrobacterota",0,2013-08-01,1,8,"2013",213
"103","01Aug2013","Firestonebacteria",0,2013-08-01,1,8,"2013",213
"104","01Aug2013","Firmicutes",0.299791818892834,2013-08-01,1,8,"2013",213
"105","01Aug2013","Fusobacteriota",0,2013-08-01,1,8,"2013",213
"106","01Aug2013","Gemmatimonadota",0.0810253918454032,2013-08-01,1,8,"2013",213
"107","01Aug2013","Halobacterota",0,2013-08-01,1,8,"2013",213
"108","01Aug2013","Hydrogenedentes",0.00450833508049913,2013-08-01,1,8,"2013",213
"109","01Aug2013","Iainarchaeota",0,2013-08-01,1,8,"2013",213
"110","01Aug2013","Latescibacterota",0,2013-08-01,1,8,"2013",213
"111","01Aug2013","LCP-89",0,2013-08-01,1,8,"2013",213
"112","01Aug2013","Margulisbacteria",0,2013-08-01,1,8,"2013",213
"113","01Aug2013","Marinimicrobia_",0,2013-08-01,1,8,"2013",213
"114","01Aug2013","Methylomirabilota",0,2013-08-01,1,8,"2013",213
"115","01Aug2013","Micrarchaeota",0,2013-08-01,1,8,"2013",213
"116","01Aug2013","Myxococcota",0.0540750930452734,2013-08-01,1,8,"2013",213
"117","01Aug2013","Nanoarchaeota",0.00224170357989146,2013-08-01,1,8,"2013",213
"118","01Aug2013","NB1-j",0,2013-08-01,1,8,"2013",213
"119","01Aug2013","Nitrospinota",0,2013-08-01,1,8,"2013",213
"120","01Aug2013","Nitrospirota",0,2013-08-01,1,8,"2013",213
"121","01Aug2013","NKB15",0,2013-08-01,1,8,"2013",213
"122","01Aug2013","Patescibacteria",0.0067749665811068,2013-08-01,1,8,"2013",213
"123","01Aug2013","PAUC34f",0,2013-08-01,1,8,"2013",213
"124","01Aug2013","Planctomycetota",5.31241592103839,2013-08-01,1,8,"2013",213
"125","01Aug2013","Proteobacteria",13.9904587740158,2013-08-01,1,8,"2013",213
"126","01Aug2013","Rotifera",0,2013-08-01,1,8,"2013",213
"127","01Aug2013","SAR324_clade",0.0451830624878562,2013-08-01,1,8,"2013",213
"128","01Aug2013","Spirochaetota",0.0293166419836025,2013-08-01,1,8,"2013",213
"129","01Aug2013","Sumerlaeota",0,2013-08-01,1,8,"2013",213
"130","01Aug2013","Sva0485",0,2013-08-01,1,8,"2013",213
"131","01Aug2013","Synergistota",0,2013-08-01,1,8,"2013",213
"132","01Aug2013","TA06",0,2013-08-01,1,8,"2013",213
"133","01Aug2013","Thermoplasmatota",0,2013-08-01,1,8,"2013",213
"134","01Aug2013","Thermotogota",0,2013-08-01,1,8,"2013",213
"135","01Aug2013","unclassified.",0.142174586520378,2013-08-01,1,8,"2013",213
