DATATAKE_IDENTIFIER,MGRS_TILE,SPACECRAFT_NAME,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,pixelCount
GS2A_20190114T165641_018613_N02.11,16TCN,Sentinel-2A,1639.2297752788252,1498.4254938835547,1387.7735840563482,1262.040476147076,1275.9397355985423,1226.6437510932194,1197.831228557252,1183.204307682643,1198.8404208148625,1187.6457309358025,1091.3451214147603,240542
GS2B_20190119T165629_009776_N02.11,15TYH,Sentinel-2B,3874.9703219244066,3943.7941570052612,3815.095304638674,3831.84952529901,3918.112806365211,3807.8852529041746,3728.5554470133034,3874.1843086516474,3630.7614331655936,1820.4606373433367,2011.3077611110104,18046
GS2B_20190119T165629_009776_N02.11,16TCN,Sentinel-2B,3928.4824835657532,4092.230114206363,3980.15494125379,3983.968285182559,4055.910137730122,3940.2645641152844,3853.0886090647887,4018.914648557532,3754.817691243127,1880.3090049085533,2087.3396043616103,9935
GS2A_20190124T165601_018756_N02.11,15TYH,Sentinel-2A,,,,,,,,,,,,0
GS2A_20190124T165601_018756_N02.11,16TCN,Sentinel-2A,,,,,,,,,,,,0
GS2B_20190129T165539_009919_N02.11,15TYH,Sentinel-2B,,,,,,,,,,,,0
GS2B_20190129T165539_009919_N02.11,16TCN,Sentinel-2B,,,,,,,,,,,,0
GS2A_20190203T165511_018899_N02.11,15TYH,Sentinel-2A,,,,,,,,,,,,0
GS2A_20190203T165511_018899_N02.11,16TCN,Sentinel-2A,,,,,,,,,,,,0
GS2B_20190208T165449_010062_N02.11,15TYH,Sentinel-2B,4469.416230294756,4700.02500018534,4641.60294882227,4579.711643577248,4544.54163335356,4314.351237773809,3918.699334248623,3913.293706810378,3472.87038933472,288.80147397255547,286.82228453189225,395679
GS2B_20190208T165449_010062_N02.11,16TCN,Sentinel-2B,4621.063092934657,4806.898278473964,4734.971029602972,4660.648093282874,4604.5775424061085,4371.1091406231,3970.7843289689067,3972.664524386814,3526.290610432073,283.0631020241541,282.29156777511423,343421
GS2A_20190213T165411_019042_N02.11,15TYH,Sentinel-2A,9440.130144997738,9545.0566811777,9402.77770348019,9703.473223008716,9938.912413702552,9659.428941597867,9334.215003844376,9739.986260860702,9075.637907488368,1128.2412355692882,1256.4576812780901,396616
GS2A_20190213T165411_019042_N02.11,16TCN,Sentinel-2A,9640.234656264365,9719.036212151612,9592.445497205537,9906.755886484114,10117.178401061099,9837.040645941914,9509.951787599384,9954.52567147119,9262.348986365067,1139.2796669628551,1271.7482278613957,344370
GS2B_20190218T165339_010205_N02.11,15TYH,Sentinel-2B,9222.696854136932,9590.997169349264,9413.14029493244,9719.40519391439,9894.747947557682,9643.225878793319,9366.076124742702,9713.490367515205,9031.39917891233,1116.5702722705876,1175.6565272225416,396616
GS2B_20190218T165339_010205_N02.11,16TCN,Sentinel-2B,9418.22687211751,9748.141373919963,9581.242121698602,9887.7046518138,10062.737561339933,9811.44175281509,9533.531739206934,9906.818204093119,9208.814463581239,1144.3351582025864,1205.6756816704108,344371
GS2A_20190223T165301_019185_N02.11,15TYH,Sentinel-2A,,,,,,,,,,,,0
GS2A_20190223T165301_019185_N02.11,16TCN,Sentinel-2A,,,,,,,,,,,,0
GS2B_20190228T165229_010348_N02.11,15TYH,Sentinel-2B,,,,,,,,,,,,0
GS2B_20190228T165229_010348_N02.11,16TCN,Sentinel-2B,,,,,,,,,,,,0
GS2A_20190305T165151_019328_N02.11,15TYH,Sentinel-2A,,,,,,,,,,,,0
GS2A_20190305T165151_019328_N02.11,16TCN,Sentinel-2A,4293.856562005875,3152.00361418568,3075.848430088097,3301.9419471425354,3675.7953467359393,3746.518861531512,3679.0960018070946,3716.4811384684904,3764.6690761237874,1503.15044047888,1327.9871244635196,16
GS2B_20190310T165119_010491_N02.11,15TYH,Sentinel-2B,,,,,,,,,,,,0
GS2B_20190310T165119_010491_N02.11,16TCN,Sentinel-2B,,,,,,,,,,,,0
GS2A_20190315T165041_019471_N02.11,15TYH,Sentinel-2A,,,,,,,,,,,,0
GS2A_20190315T165041_019471_N02.11,16TCN,Sentinel-2A,,,,,,,,,,,,0
GS2B_20190320T165209_010634_N02.11,15TYH,Sentinel-2B,,,,,,,,,,,,0
