DATATAKE_IDENTIFIER,MGRS_TILE,SPACECRAFT_NAME,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,pixelCount
GS2B_20190109T165659_009633_N02.11,16TCN,Sentinel-2B,371.5123994046266,387.25865940109486,348.6284215040741,294.01678902091373,285.4578545996313,263.8194363778693,289.37545094477656,292.44221599939453,318.6457791167234,409.87001437977744,338.6957794091677,312
GS2A_20190114T165641_018613_N02.11,15TYH,Sentinel-2A,4913.073552938215,4976.85894060591,4748.7861056874735,4636.93690243749,4679.256584997166,4504.651294325127,4410.122416073567,4605.19095547018,4375.155659129559,4514.5281224412665,4264.915198085282,311
GS2A_20190114T165641_018613_N02.11,16TCN,Sentinel-2A,5214.844761472287,5227.600355710285,4952.349352910015,4808.992179419256,4827.390801987944,4640.394750119828,4541.818095814729,4759.389767653069,4513.778955069503,4668.137881884004,4416.516902545473,312
GS2B_20190119T165629_009776_N02.11,15TYH,Sentinel-2B,,,,,,,,,,,,0
GS2B_20190119T165629_009776_N02.11,16TCN,Sentinel-2B,,,,,,,,,,,,0
GS2A_20190124T165601_018756_N02.11,15TYH,Sentinel-2A,,,,,,,,,,,,0
GS2A_20190124T165601_018756_N02.11,16TCN,Sentinel-2A,,,,,,,,,,,,0
GS2B_20190129T165539_009919_N02.11,15TYH,Sentinel-2B,,,,,,,,,,,,0
GS2B_20190129T165539_009919_N02.11,16TCN,Sentinel-2B,,,,,,,,,,,,0
GS2A_20190203T165511_018899_N02.11,15TYH,Sentinel-2A,,,,,,,,,,,,0
GS2A_20190203T165511_018899_N02.11,16TCN,Sentinel-2A,,,,,,,,,,,,0
GS2B_20190208T165449_010062_N02.11,15TYH,Sentinel-2B,3687.4886313535294,3792.500875480256,3771.2053662530734,3767.270051017195,3765.297197203503,3630.3172261762315,3411.0676450211017,3459.07197833344,3117.0187314983955,219.99351262833042,222.49382125086606,311
GS2B_20190208T165449_010062_N02.11,16TCN,Sentinel-2B,3858.2305809934655,3914.5874265243806,3881.067294835892,3865.450326698454,3845.4364010191966,3706.2573223340664,3483.5157925275603,3539.7985191351936,3189.505272585079,222.04105804889124,226.17771639042368,312
GS2A_20190213T165411_019042_N02.11,15TYH,Sentinel-2A,9042.876739938283,9239.469496756314,9210.46109466524,9584.149877180831,9847.288795112428,9587.42200667633,9270.054645084085,9701.126648611205,9040.972765635832,1117.786294640046,1249.5198463185752,311
GS2A_20190213T165411_019042_N02.11,16TCN,Sentinel-2A,9232.427810994219,9444.357211332277,9423.274918640727,9809.395431267189,10047.63153712253,9784.751343373946,9466.328426549608,9931.319659930874,9246.202023259919,1141.4837155326825,1277.1154670904916,312
GS2B_20190218T165339_010205_N02.11,15TYH,Sentinel-2B,8857.679284499596,9265.355230837067,9184.805038735281,9561.716281413372,9750.130944133027,9527.616577439063,9260.29849467784,9610.05038735278,8949.177514643832,1102.0547836493045,1163.8385967122256,311
GS2B_20190218T165339_010205_N02.11,16TCN,Sentinel-2B,9038.717626579884,9456.21047453266,9379.71890057771,9754.69137717904,9946.11660233608,9723.12574737001,9448.869459370819,9825.804182749307,9147.920343601,1124.8372057821844,1188.5259971240446,312
GS2A_20190223T165301_019185_N02.11,15TYH,Sentinel-2A,,,,,,,,,,,,0
GS2A_20190223T165301_019185_N02.11,16TCN,Sentinel-2A,,,,,,,,,,,,0
GS2B_20190228T165229_010348_N02.11,15TYH,Sentinel-2B,,,,,,,,,,,,0
GS2B_20190228T165229_010348_N02.11,16TCN,Sentinel-2B,,,,,,,,,,,,0
GS2A_20190305T165151_019328_N02.11,15TYH,Sentinel-2A,,,,,,,,,,,,0
GS2A_20190305T165151_019328_N02.11,16TCN,Sentinel-2A,,,,,,,,,,,,0
GS2B_20190310T165119_010491_N02.11,15TYH,Sentinel-2B,,,,,,,,,,,,0
GS2B_20190310T165119_010491_N02.11,16TCN,Sentinel-2B,,,,,,,,,,,,0
