"sampledate","year","daynum","stratFlag","thermocline","layer","temp","o2","tp","doc"
2007-05-29,2007,149,TRUE,11.0283751981965,"epi",16.6246284501062,9.26949207904622,77.339212804181,NA
2007-05-29,2007,149,TRUE,11.0283751981965,"hypo",11.1902521760711,7.7955343547858,NA,NA
2007-06-11,2007,162,TRUE,11.1316414558099,"all",16.872463595551,7.81878223360543,106.197447876491,5.12201645581814
2007-06-11,2007,162,TRUE,11.1316414558099,"epi",19.1611954924057,8.69906908378246,76.5408704883227,5.1303666503348
2007-06-11,2007,162,TRUE,11.1316414558099,"hypo",11.9656683162781,5.93154180724064,169.777963413344,5.10411453594203
2007-06-25,2007,176,TRUE,9.84984759437492,"all",18.2811039607675,7.06270952360359,NA,NA
2007-06-25,2007,176,TRUE,9.84984759437492,"epi",21.7507090839402,8.8795515523189,53.2954197010349,NA
2007-06-25,2007,176,TRUE,9.84984759437492,"hypo",13.4674099147769,4.54204179754971,NA,NA
2007-07-09,2007,190,TRUE,9.69258149852407,"all",19.9464302453346,5.85747777080069,113.059391349011,5.26629674488563
2007-07-09,2007,190,TRUE,9.69258149852407,"epi",24.358873131468,8.6966078957455,44.574741280184,5.37154561134534
2007-07-09,2007,190,TRUE,9.69258149852407,"hypo",13.8246528974179,1.91849817713944,208.074282258734,5.12027556269383
2007-07-23,2007,204,TRUE,11.0474498353482,"all",19.4018064436896,5.27877252203333,NA,NA
2007-07-23,2007,204,TRUE,11.0474498353482,"epi",22.8089498611792,7.65414012738854,31,NA
2007-07-23,2007,204,TRUE,11.0474498353482,"hypo",12.0972570293529,0.186239592111538,NA,NA
2007-08-06,2007,218,TRUE,10.7381333333837,"all",20.2508523311574,3.96105677853603,142.252700781658,5.21229086207881
2007-08-06,2007,218,TRUE,10.7381333333837,"epi",24.4786103781882,6.14223394898857,28.4274846086192,5.29266930518909
2007-08-06,2007,218,TRUE,10.7381333333837,"hypo",12.9543560833096,0.196661829001226,338.698489182514,5.07356934537
2007-08-20,2007,232,TRUE,12.4115623509507,"all",19.6375680296264,4.31917002503522,NA,NA
2007-08-20,2007,232,TRUE,12.4115623509507,"epi",22.2310577070259,5.84702280728609,26,NA
2007-08-20,2007,232,TRUE,12.4115623509507,"hypo",12.7106957506917,0.238474745662238,NA,NA
2007-09-04,2007,247,TRUE,11.8771721718026,"all",20.2001454609747,5.21872120244606,149.699850876487,5.08802902724131
2007-09-04,2007,247,TRUE,11.8771721718026,"epi",23.0055854973052,7.51419238935163,36.3126735260493,5.13281520496489
2007-09-04,2007,247,TRUE,11.8771721718026,"hypo",14.1855834471943,0.297477609391663,392.789776488924,4.99201227415078
